Statistic,Value
simSeconds,0.233264
hostMemory,408121280
simInsts,1125735052
system.cpu_cluster.cpus.cpi,0.828479
system.cpu_cluster.cpus.ipc,1.207031
system.cpu_cluster.cpus.statFuBusy::MemRead,35762725
system.cpu_cluster.cpus.statFuBusy::MemWrite,395390
system.cpu_cluster.cpus.statIssuedInstType_0::MemRead,356317368
system.cpu_cluster.cpus.statIssuedInstType_0::MemWrite,109639541
system.cpu_cluster.cpus.fuBusy,192577645
system.cpu_cluster.cpus.fuBusyRate,0.165281
system.cpu_cluster.cpus.MemDepUnit__0.insertedLoads,355076861
system.cpu_cluster.cpus.MemDepUnit__0.insertedStores,109898707
system.cpu_cluster.cpus.MemDepUnit__0.conflictingLoads,904863
system.cpu_cluster.cpus.MemDepUnit__0.conflictingStores,643670
system.cpu_cluster.cpus.commitStats0.cpi,0.828479
system.cpu_cluster.cpus.commitStats0.ipc,1.207031
system.cpu_cluster.cpus.dcache.demandHits::cpu_cluster.cpus.data,428752885
system.cpu_cluster.cpus.dcache.demandHits::total,428752885
system.cpu_cluster.cpus.dcache.overallHits::cpu_cluster.cpus.data,428832712
system.cpu_cluster.cpus.dcache.overallHits::total,428832712
system.cpu_cluster.cpus.dcache.demandMisses::cpu_cluster.cpus.data,32714461
system.cpu_cluster.cpus.dcache.demandMisses::total,32714461
system.cpu_cluster.cpus.dcache.overallMisses::cpu_cluster.cpus.data,32722842
system.cpu_cluster.cpus.dcache.overallMisses::total,32722842
system.cpu_cluster.cpus.dcache.demandAccesses::cpu_cluster.cpus.data,461467346
system.cpu_cluster.cpus.dcache.demandAccesses::total,461467346
system.cpu_cluster.cpus.dcache.overallAccesses::cpu_cluster.cpus.data,461555554
system.cpu_cluster.cpus.dcache.overallAccesses::total,461555554
system.cpu_cluster.cpus.dcache.replacements,25658211
system.cpu_cluster.cpus.dcache.tags.tagsInUse,1024
system.cpu_cluster.cpus.icache.demandHits::cpu_cluster.cpus.inst,115883213
system.cpu_cluster.cpus.icache.demandHits::total,115883213
system.cpu_cluster.cpus.icache.overallHits::cpu_cluster.cpus.inst,115883213
system.cpu_cluster.cpus.icache.overallHits::total,115883213
system.cpu_cluster.cpus.icache.demandMisses::cpu_cluster.cpus.inst,401458
system.cpu_cluster.cpus.icache.demandMisses::total,401458
system.cpu_cluster.cpus.icache.overallMisses::cpu_cluster.cpus.inst,401458
system.cpu_cluster.cpus.icache.overallMisses::total,401458
system.cpu_cluster.cpus.icache.demandAccesses::cpu_cluster.cpus.inst,116284671
system.cpu_cluster.cpus.icache.demandAccesses::total,116284671
system.cpu_cluster.cpus.icache.overallAccesses::cpu_cluster.cpus.inst,116284671
system.cpu_cluster.cpus.icache.overallAccesses::total,116284671
system.cpu_cluster.cpus.icache.replacements,357895
system.cpu_cluster.cpus.icache.tags.tagsInUse,1024
system.cpu_cluster.cpus.mmu.dtb.readHits,354246505
system.cpu_cluster.cpus.mmu.dtb.readMisses,23505
system.cpu_cluster.cpus.mmu.dtb.writeHits,109489658
system.cpu_cluster.cpus.mmu.dtb.writeMisses,4789
system.cpu_cluster.cpus.mmu.dtb.inserts,230
system.cpu_cluster.cpus.mmu.dtb.flushTlb,143
system.cpu_cluster.cpus.mmu.dtb.flushedEntries,139
system.cpu_cluster.cpus.mmu.dtb.readAccesses,354270010
system.cpu_cluster.cpus.mmu.dtb.writeAccesses,109494447
system.cpu_cluster.cpus.mmu.dtb.hits,463736163
system.cpu_cluster.cpus.mmu.dtb.misses,28294
system.cpu_cluster.cpus.mmu.dtb.accesses,463764457
system.cpu_cluster.cpus.mmu.itb.hits,116291081
system.cpu_cluster.cpus.mmu.itb.misses,577
system.cpu_cluster.cpus.mmu.itb.accesses,116291658
system.cpu_cluster.cpus.mmu.l2_shared.hits,3300
system.cpu_cluster.cpus.mmu.l2_shared.misses,25571
system.cpu_cluster.cpus.mmu.l2_shared.accesses,28871
system.cpu_cluster.cpus.mmu.stage2_dtb.readHits,0
system.cpu_cluster.cpus.mmu.stage2_dtb.readMisses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.writeHits,0
system.cpu_cluster.cpus.mmu.stage2_dtb.writeMisses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.inserts,0
system.cpu_cluster.cpus.mmu.stage2_dtb.flushTlb,0
system.cpu_cluster.cpus.mmu.stage2_dtb.flushedEntries,0
system.cpu_cluster.cpus.mmu.stage2_dtb.readAccesses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.writeAccesses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.hits,0
system.cpu_cluster.cpus.mmu.stage2_dtb.misses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.accesses,0
system.cpu_cluster.cpus.mmu.stage2_itb.hits,0
system.cpu_cluster.cpus.mmu.stage2_itb.misses,0
system.cpu_cluster.cpus.mmu.stage2_itb.accesses,0
simSeconds,0.135929
hostMemory,408121280
simInsts,616048631
system.cpu_cluster.cpus.cpi,0.882061
system.cpu_cluster.cpus.ipc,1.133709
system.cpu_cluster.cpus.statFuBusy::MemRead,16117660
system.cpu_cluster.cpus.statFuBusy::MemWrite,562568
system.cpu_cluster.cpus.statIssuedInstType_0::MemRead,196008142
system.cpu_cluster.cpus.statIssuedInstType_0::MemWrite,61125868
system.cpu_cluster.cpus.fuBusy,95567000
system.cpu_cluster.cpus.fuBusyRate,0.148006
system.cpu_cluster.cpus.MemDepUnit__0.insertedLoads,192842396
system.cpu_cluster.cpus.MemDepUnit__0.insertedStores,61361985
system.cpu_cluster.cpus.MemDepUnit__0.conflictingLoads,769434
system.cpu_cluster.cpus.MemDepUnit__0.conflictingStores,776248
system.cpu_cluster.cpus.commitStats0.cpi,0.882061
system.cpu_cluster.cpus.commitStats0.ipc,1.133709
system.cpu_cluster.cpus.dcache.demandHits::cpu_cluster.cpus.data,231970468
system.cpu_cluster.cpus.dcache.demandHits::total,231970468
system.cpu_cluster.cpus.dcache.overallHits::cpu_cluster.cpus.data,232046579
system.cpu_cluster.cpus.dcache.overallHits::total,232046579
system.cpu_cluster.cpus.dcache.demandMisses::cpu_cluster.cpus.data,19669497
system.cpu_cluster.cpus.dcache.demandMisses::total,19669497
system.cpu_cluster.cpus.dcache.overallMisses::cpu_cluster.cpus.data,19676761
system.cpu_cluster.cpus.dcache.overallMisses::total,19676761
system.cpu_cluster.cpus.dcache.demandAccesses::cpu_cluster.cpus.data,251639965
system.cpu_cluster.cpus.dcache.demandAccesses::total,251639965
system.cpu_cluster.cpus.dcache.overallAccesses::cpu_cluster.cpus.data,251723340
system.cpu_cluster.cpus.dcache.overallAccesses::total,251723340
system.cpu_cluster.cpus.dcache.replacements,14701047
system.cpu_cluster.cpus.dcache.tags.tagsInUse,1024
system.cpu_cluster.cpus.icache.demandHits::cpu_cluster.cpus.inst,66493651
system.cpu_cluster.cpus.icache.demandHits::total,66493651
system.cpu_cluster.cpus.icache.overallHits::cpu_cluster.cpus.inst,66493651
system.cpu_cluster.cpus.icache.overallHits::total,66493651
system.cpu_cluster.cpus.icache.demandMisses::cpu_cluster.cpus.inst,343616
system.cpu_cluster.cpus.icache.demandMisses::total,343616
system.cpu_cluster.cpus.icache.overallMisses::cpu_cluster.cpus.inst,343616
system.cpu_cluster.cpus.icache.overallMisses::total,343616
system.cpu_cluster.cpus.icache.demandAccesses::cpu_cluster.cpus.inst,66837267
system.cpu_cluster.cpus.icache.demandAccesses::total,66837267
system.cpu_cluster.cpus.icache.overallAccesses::cpu_cluster.cpus.inst,66837267
system.cpu_cluster.cpus.icache.overallAccesses::total,66837267
system.cpu_cluster.cpus.icache.replacements,304550
system.cpu_cluster.cpus.icache.tags.tagsInUse,1024
system.cpu_cluster.cpus.mmu.dtb.readHits,192232140
system.cpu_cluster.cpus.mmu.dtb.readMisses,21578
system.cpu_cluster.cpus.mmu.dtb.writeHits,60991200
system.cpu_cluster.cpus.mmu.dtb.writeMisses,3675
system.cpu_cluster.cpus.mmu.dtb.inserts,179
system.cpu_cluster.cpus.mmu.dtb.flushTlb,94
system.cpu_cluster.cpus.mmu.dtb.flushedEntries,90
system.cpu_cluster.cpus.mmu.dtb.readAccesses,192253718
system.cpu_cluster.cpus.mmu.dtb.writeAccesses,60994875
system.cpu_cluster.cpus.mmu.dtb.hits,253223340
system.cpu_cluster.cpus.mmu.dtb.misses,25253
system.cpu_cluster.cpus.mmu.dtb.accesses,253248593
system.cpu_cluster.cpus.mmu.itb.hits,66843302
system.cpu_cluster.cpus.mmu.itb.misses,564
system.cpu_cluster.cpus.mmu.itb.accesses,66843866
system.cpu_cluster.cpus.mmu.l2_shared.hits,2701
system.cpu_cluster.cpus.mmu.l2_shared.misses,23116
system.cpu_cluster.cpus.mmu.l2_shared.accesses,25817
system.cpu_cluster.cpus.mmu.stage2_dtb.readHits,0
system.cpu_cluster.cpus.mmu.stage2_dtb.readMisses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.writeHits,0
system.cpu_cluster.cpus.mmu.stage2_dtb.writeMisses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.inserts,0
system.cpu_cluster.cpus.mmu.stage2_dtb.flushTlb,0
system.cpu_cluster.cpus.mmu.stage2_dtb.flushedEntries,0
system.cpu_cluster.cpus.mmu.stage2_dtb.readAccesses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.writeAccesses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.hits,0
system.cpu_cluster.cpus.mmu.stage2_dtb.misses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.accesses,0
system.cpu_cluster.cpus.mmu.stage2_itb.hits,0
system.cpu_cluster.cpus.mmu.stage2_itb.misses,0
system.cpu_cluster.cpus.mmu.stage2_itb.accesses,0
simSeconds,0.076359
hostMemory,408122304
simInsts,303805659
system.cpu_cluster.cpus.cpi,1.004471
system.cpu_cluster.cpus.ipc,0.995549
system.cpu_cluster.cpus.statFuBusy::MemRead,9415281
system.cpu_cluster.cpus.statFuBusy::MemWrite,382088
system.cpu_cluster.cpus.statIssuedInstType_0::MemRead,95436619
system.cpu_cluster.cpus.statIssuedInstType_0::MemWrite,31208140
system.cpu_cluster.cpus.fuBusy,51058449
system.cpu_cluster.cpus.fuBusyRate,0.157391
system.cpu_cluster.cpus.MemDepUnit__0.insertedLoads,93461019
system.cpu_cluster.cpus.MemDepUnit__0.insertedStores,31430322
system.cpu_cluster.cpus.MemDepUnit__0.conflictingLoads,664203
system.cpu_cluster.cpus.MemDepUnit__0.conflictingStores,621281
system.cpu_cluster.cpus.commitStats0.cpi,1.004471
system.cpu_cluster.cpus.commitStats0.ipc,0.995549
system.cpu_cluster.cpus.dcache.demandHits::cpu_cluster.cpus.data,112648412
system.cpu_cluster.cpus.dcache.demandHits::total,112648412
system.cpu_cluster.cpus.dcache.overallHits::cpu_cluster.cpus.data,112723710
system.cpu_cluster.cpus.dcache.overallHits::total,112723710
system.cpu_cluster.cpus.dcache.demandMisses::cpu_cluster.cpus.data,9846952
system.cpu_cluster.cpus.dcache.demandMisses::total,9846952
system.cpu_cluster.cpus.dcache.overallMisses::cpu_cluster.cpus.data,9853882
system.cpu_cluster.cpus.dcache.overallMisses::total,9853882
system.cpu_cluster.cpus.dcache.demandAccesses::cpu_cluster.cpus.data,122495364
system.cpu_cluster.cpus.dcache.demandAccesses::total,122495364
system.cpu_cluster.cpus.dcache.overallAccesses::cpu_cluster.cpus.data,122577592
system.cpu_cluster.cpus.dcache.overallAccesses::total,122577592
system.cpu_cluster.cpus.dcache.replacements,7298835
system.cpu_cluster.cpus.dcache.tags.tagsInUse,1024
system.cpu_cluster.cpus.icache.demandHits::cpu_cluster.cpus.inst,35266278
system.cpu_cluster.cpus.icache.demandHits::total,35266278
system.cpu_cluster.cpus.icache.overallHits::cpu_cluster.cpus.inst,35266278
system.cpu_cluster.cpus.icache.overallHits::total,35266278
system.cpu_cluster.cpus.icache.demandMisses::cpu_cluster.cpus.inst,335385
system.cpu_cluster.cpus.icache.demandMisses::total,335385
system.cpu_cluster.cpus.icache.overallMisses::cpu_cluster.cpus.inst,335385
system.cpu_cluster.cpus.icache.overallMisses::total,335385
system.cpu_cluster.cpus.icache.demandAccesses::cpu_cluster.cpus.inst,35601663
system.cpu_cluster.cpus.icache.demandAccesses::total,35601663
system.cpu_cluster.cpus.icache.overallAccesses::cpu_cluster.cpus.inst,35601663
system.cpu_cluster.cpus.icache.overallAccesses::total,35601663
system.cpu_cluster.cpus.icache.replacements,297821
system.cpu_cluster.cpus.icache.tags.tagsInUse,1024
system.cpu_cluster.cpus.mmu.dtb.readHits,92696577
system.cpu_cluster.cpus.mmu.dtb.readMisses,22124
system.cpu_cluster.cpus.mmu.dtb.writeHits,31086843
system.cpu_cluster.cpus.mmu.dtb.writeMisses,3819
system.cpu_cluster.cpus.mmu.dtb.inserts,150
system.cpu_cluster.cpus.mmu.dtb.flushTlb,68
system.cpu_cluster.cpus.mmu.dtb.flushedEntries,64
system.cpu_cluster.cpus.mmu.dtb.readAccesses,92718701
system.cpu_cluster.cpus.mmu.dtb.writeAccesses,31090662
system.cpu_cluster.cpus.mmu.dtb.hits,123783420
system.cpu_cluster.cpus.mmu.dtb.misses,25943
system.cpu_cluster.cpus.mmu.dtb.accesses,123809363
system.cpu_cluster.cpus.mmu.itb.hits,35607581
system.cpu_cluster.cpus.mmu.itb.misses,550
system.cpu_cluster.cpus.mmu.itb.accesses,35608131
system.cpu_cluster.cpus.mmu.l2_shared.hits,2874
system.cpu_cluster.cpus.mmu.l2_shared.misses,23619
system.cpu_cluster.cpus.mmu.l2_shared.accesses,26493
system.cpu_cluster.cpus.mmu.stage2_dtb.readHits,0
system.cpu_cluster.cpus.mmu.stage2_dtb.readMisses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.writeHits,0
system.cpu_cluster.cpus.mmu.stage2_dtb.writeMisses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.inserts,0
system.cpu_cluster.cpus.mmu.stage2_dtb.flushTlb,0
system.cpu_cluster.cpus.mmu.stage2_dtb.flushedEntries,0
system.cpu_cluster.cpus.mmu.stage2_dtb.readAccesses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.writeAccesses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.hits,0
system.cpu_cluster.cpus.mmu.stage2_dtb.misses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.accesses,0
system.cpu_cluster.cpus.mmu.stage2_itb.hits,0
system.cpu_cluster.cpus.mmu.stage2_itb.misses,0
system.cpu_cluster.cpus.mmu.stage2_itb.accesses,0
simSeconds,0.041328
hostMemory,408123328
simInsts,131395517
system.cpu_cluster.cpus.cpi,1.256166
system.cpu_cluster.cpus.ipc,0.796073
system.cpu_cluster.cpus.statFuBusy::MemRead,2897745
system.cpu_cluster.cpus.statFuBusy::MemWrite,433096
system.cpu_cluster.cpus.statIssuedInstType_0::MemRead,38113518
system.cpu_cluster.cpus.statIssuedInstType_0::MemWrite,15258970
system.cpu_cluster.cpus.fuBusy,21320135
system.cpu_cluster.cpus.fuBusyRate,0.146732
system.cpu_cluster.cpus.MemDepUnit__0.insertedLoads,38141832
system.cpu_cluster.cpus.MemDepUnit__0.insertedStores,15471943
system.cpu_cluster.cpus.MemDepUnit__0.conflictingLoads,579180
system.cpu_cluster.cpus.MemDepUnit__0.conflictingStores,551274
system.cpu_cluster.cpus.commitStats0.cpi,1.256166
system.cpu_cluster.cpus.commitStats0.ipc,0.796073
system.cpu_cluster.cpus.dcache.demandHits::cpu_cluster.cpus.data,48314266
system.cpu_cluster.cpus.dcache.demandHits::total,48314266
system.cpu_cluster.cpus.dcache.overallHits::cpu_cluster.cpus.data,48389498
system.cpu_cluster.cpus.dcache.overallHits::total,48389498
system.cpu_cluster.cpus.dcache.demandMisses::cpu_cluster.cpus.data,3600495
system.cpu_cluster.cpus.dcache.demandMisses::total,3600495
system.cpu_cluster.cpus.dcache.overallMisses::cpu_cluster.cpus.data,3607495
system.cpu_cluster.cpus.dcache.overallMisses::total,3607495
system.cpu_cluster.cpus.dcache.demandAccesses::cpu_cluster.cpus.data,51914761
system.cpu_cluster.cpus.dcache.demandAccesses::total,51914761
system.cpu_cluster.cpus.dcache.overallAccesses::cpu_cluster.cpus.data,51996993
system.cpu_cluster.cpus.dcache.overallAccesses::total,51996993
system.cpu_cluster.cpus.dcache.replacements,2408106
system.cpu_cluster.cpus.dcache.tags.tagsInUse,1024
system.cpu_cluster.cpus.icache.demandHits::cpu_cluster.cpus.inst,17168607
system.cpu_cluster.cpus.icache.demandHits::total,17168607
system.cpu_cluster.cpus.icache.overallHits::cpu_cluster.cpus.inst,17168607
system.cpu_cluster.cpus.icache.overallHits::total,17168607
system.cpu_cluster.cpus.icache.demandMisses::cpu_cluster.cpus.inst,327715
system.cpu_cluster.cpus.icache.demandMisses::total,327715
system.cpu_cluster.cpus.icache.overallMisses::cpu_cluster.cpus.inst,327715
system.cpu_cluster.cpus.icache.overallMisses::total,327715
system.cpu_cluster.cpus.icache.demandAccesses::cpu_cluster.cpus.inst,17496322
system.cpu_cluster.cpus.icache.demandAccesses::total,17496322
system.cpu_cluster.cpus.icache.overallAccesses::cpu_cluster.cpus.inst,17496322
system.cpu_cluster.cpus.icache.overallAccesses::total,17496322
system.cpu_cluster.cpus.icache.replacements,291989
system.cpu_cluster.cpus.icache.tags.tagsInUse,1024
system.cpu_cluster.cpus.mmu.dtb.readHits,37745746
system.cpu_cluster.cpus.mmu.dtb.readMisses,21775
system.cpu_cluster.cpus.mmu.dtb.writeHits,15140621
system.cpu_cluster.cpus.mmu.dtb.writeMisses,3404
system.cpu_cluster.cpus.mmu.dtb.inserts,132
system.cpu_cluster.cpus.mmu.dtb.flushTlb,50
system.cpu_cluster.cpus.mmu.dtb.flushedEntries,46
system.cpu_cluster.cpus.mmu.dtb.readAccesses,37767521
system.cpu_cluster.cpus.mmu.dtb.writeAccesses,15144025
system.cpu_cluster.cpus.mmu.dtb.hits,52886367
system.cpu_cluster.cpus.mmu.dtb.misses,25179
system.cpu_cluster.cpus.mmu.dtb.accesses,52911546
system.cpu_cluster.cpus.mmu.itb.hits,17502047
system.cpu_cluster.cpus.mmu.itb.misses,568
system.cpu_cluster.cpus.mmu.itb.accesses,17502615
system.cpu_cluster.cpus.mmu.l2_shared.hits,2538
system.cpu_cluster.cpus.mmu.l2_shared.misses,23209
system.cpu_cluster.cpus.mmu.l2_shared.accesses,25747
system.cpu_cluster.cpus.mmu.stage2_dtb.readHits,0
system.cpu_cluster.cpus.mmu.stage2_dtb.readMisses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.writeHits,0
system.cpu_cluster.cpus.mmu.stage2_dtb.writeMisses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.inserts,0
system.cpu_cluster.cpus.mmu.stage2_dtb.flushTlb,0
system.cpu_cluster.cpus.mmu.stage2_dtb.flushedEntries,0
system.cpu_cluster.cpus.mmu.stage2_dtb.readAccesses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.writeAccesses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.hits,0
system.cpu_cluster.cpus.mmu.stage2_dtb.misses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.accesses,0
system.cpu_cluster.cpus.mmu.stage2_itb.hits,0
system.cpu_cluster.cpus.mmu.stage2_itb.misses,0
system.cpu_cluster.cpus.mmu.stage2_itb.accesses,0
simSeconds,0.000354
hostMemory,408123328
simInsts,472047
system.cpu_cluster.cpus.cpi,2.964972
system.cpu_cluster.cpus.ipc,0.337271
system.cpu_cluster.cpus.statFuBusy::MemRead,3174
system.cpu_cluster.cpus.statFuBusy::MemWrite,2362
system.cpu_cluster.cpus.statIssuedInstType_0::MemRead,111722
system.cpu_cluster.cpus.statIssuedInstType_0::MemWrite,145352
system.cpu_cluster.cpus.fuBusy,59385
system.cpu_cluster.cpus.fuBusyRate,0.088406
system.cpu_cluster.cpus.MemDepUnit__0.insertedLoads,111332
system.cpu_cluster.cpus.MemDepUnit__0.insertedStores,147161
system.cpu_cluster.cpus.MemDepUnit__0.conflictingLoads,3687
system.cpu_cluster.cpus.MemDepUnit__0.conflictingStores,4454
system.cpu_cluster.cpus.commitStats0.cpi,2.964972
system.cpu_cluster.cpus.commitStats0.ipc,0.337271
system.cpu_cluster.cpus.dcache.demandHits::cpu_cluster.cpus.data,162604
system.cpu_cluster.cpus.dcache.demandHits::total,162604
system.cpu_cluster.cpus.dcache.overallHits::cpu_cluster.cpus.data,163775
system.cpu_cluster.cpus.dcache.overallHits::total,163775
system.cpu_cluster.cpus.dcache.demandMisses::cpu_cluster.cpus.data,78657
system.cpu_cluster.cpus.dcache.demandMisses::total,78657
system.cpu_cluster.cpus.dcache.overallMisses::cpu_cluster.cpus.data,79044
system.cpu_cluster.cpus.dcache.overallMisses::total,79044
system.cpu_cluster.cpus.dcache.demandAccesses::cpu_cluster.cpus.data,241261
system.cpu_cluster.cpus.dcache.demandAccesses::total,241261
system.cpu_cluster.cpus.dcache.overallAccesses::cpu_cluster.cpus.data,242819
system.cpu_cluster.cpus.dcache.overallAccesses::total,242819
system.cpu_cluster.cpus.dcache.replacements,33246
system.cpu_cluster.cpus.dcache.tags.tagsInUse,1024
system.cpu_cluster.cpus.icache.demandHits::cpu_cluster.cpus.inst,80246
system.cpu_cluster.cpus.icache.demandHits::total,80246
system.cpu_cluster.cpus.icache.overallHits::cpu_cluster.cpus.inst,80246
system.cpu_cluster.cpus.icache.overallHits::total,80246
system.cpu_cluster.cpus.icache.demandMisses::cpu_cluster.cpus.inst,6922
system.cpu_cluster.cpus.icache.demandMisses::total,6922
system.cpu_cluster.cpus.icache.overallMisses::cpu_cluster.cpus.inst,6922
system.cpu_cluster.cpus.icache.overallMisses::total,6922
system.cpu_cluster.cpus.icache.demandAccesses::cpu_cluster.cpus.inst,87168
system.cpu_cluster.cpus.icache.demandAccesses::total,87168
system.cpu_cluster.cpus.icache.overallAccesses::cpu_cluster.cpus.inst,87168
system.cpu_cluster.cpus.icache.overallAccesses::total,87168
system.cpu_cluster.cpus.icache.replacements,5721
system.cpu_cluster.cpus.icache.tags.tagsInUse,1024
system.cpu_cluster.cpus.mmu.dtb.readHits,106769
system.cpu_cluster.cpus.mmu.dtb.readMisses,421
system.cpu_cluster.cpus.mmu.dtb.writeHits,143969
system.cpu_cluster.cpus.mmu.dtb.writeMisses,117
system.cpu_cluster.cpus.mmu.dtb.inserts,33
system.cpu_cluster.cpus.mmu.dtb.flushTlb,18
system.cpu_cluster.cpus.mmu.dtb.flushedEntries,16
system.cpu_cluster.cpus.mmu.dtb.readAccesses,107190
system.cpu_cluster.cpus.mmu.dtb.writeAccesses,144086
system.cpu_cluster.cpus.mmu.dtb.hits,250738
system.cpu_cluster.cpus.mmu.dtb.misses,538
system.cpu_cluster.cpus.mmu.dtb.accesses,251276
system.cpu_cluster.cpus.mmu.itb.hits,87304
system.cpu_cluster.cpus.mmu.itb.misses,123
system.cpu_cluster.cpus.mmu.itb.accesses,87427
system.cpu_cluster.cpus.mmu.l2_shared.hits,370
system.cpu_cluster.cpus.mmu.l2_shared.misses,291
system.cpu_cluster.cpus.mmu.l2_shared.accesses,661
system.cpu_cluster.cpus.mmu.stage2_dtb.readHits,0
system.cpu_cluster.cpus.mmu.stage2_dtb.readMisses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.writeHits,0
system.cpu_cluster.cpus.mmu.stage2_dtb.writeMisses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.inserts,0
system.cpu_cluster.cpus.mmu.stage2_dtb.flushTlb,0
system.cpu_cluster.cpus.mmu.stage2_dtb.flushedEntries,0
system.cpu_cluster.cpus.mmu.stage2_dtb.readAccesses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.writeAccesses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.hits,0
system.cpu_cluster.cpus.mmu.stage2_dtb.misses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.accesses,0
system.cpu_cluster.cpus.mmu.stage2_itb.hits,0
system.cpu_cluster.cpus.mmu.stage2_itb.misses,0
system.cpu_cluster.cpus.mmu.stage2_itb.accesses,0
